scale_name;key;notes
major;C Major;0, 2, 4, 5, 7, 9, 11, 0
major;D Major;2, 4, 6, 7, 9, 11, 1, 2
major;E Major;4, 6, 8, 9, 11, 1, 3, 4
major;F Major;5, 7, 9, 10, 0, 2, 4, 5
major;G Major;7, 9, 11, 0, 2, 4, 6, 7
major;A Major;9, 11, 1, 2, 4, 6, 8, 9
major;B Major;11, 1, 3, 4, 6, 8, 10, 11
major;C# / Db Major;1, 3, 5, 6, 8, 10, 0, 1
major;D# / Eb Major;3, 5, 7, 8, 10, 0, 2, 3
major;F# /Gb Major;6, 8, 10, 11, 1, 3, 5, 6
major;G# / Ab Major;8, 10, 0, 1, 3, 5, 7, 8
major;A# / Bb Major;10, 0, 2, 3, 5, 7, 9, 10
minor;A Minor;9, 11, 0, 2, 4, 5, 7, 9
minor;A# / Bb Minor;10, 0, 1, 3, 5, 6, 8, 10
minor;B Minor;11, 1, 2, 4, 6, 7, 9, 11
minor;C Minor;0, 2, 3, 5, 7, 8, 10, 0
minor;C# / Db Minor;1, 3, 4,  6, 8, 9, 11, 1
minor;D Minor;2, 4, 5, 7, 9, 10, 0, 2
minor;D# / Eb Minor;3, 5, 6,  8, 10, 11, 1, 3
minor;E Minor;4,  6, 7, 9, 11, 0, 2, 4
minor;F Minor;5, 7, 8, 10, 0, 1, 3, 5
minor;F# / Gb Minor;6, 8, 9,  11, 1, 2, 4, 6
minor;G Minor;7, 9, 10, 0, 2, 3, 5, 7
minor;G# / Ab Minor;8, 10, 11, 1, 3, 4, 6, 8
blues;Cm Pentatonic Blues;0, 3, 5, 6, 7, 10, 0
blues;C#m / Dbm Pentatonic Blues;1, 4, 6, 7, 8, 11, 1
blues;Dm Pentatonic Blues;2, 5, 7, 8, 9, 0, 2
blues;D#m / Ebm Pentatonic Blues;3, 6, 8, 9, 10, 1, 3
blues;Em Pentatonic Blues;4, 7, 9, 10, 11, 2, 4
blues;Fm Pentatonic Blues;5, 8, 10, 11, 0, 3, 5
blues;F#m / Gbm Pentatonic Blues;6, 9, 11, 0, 1, 4, 6
blues;Gm Pentatonic Blues;7, 10, 0, 1, 2, 5, 7
blues;G#m / Abm Pentatonic Blues;8, 11, 1, 2, 3, 6, 8
blues;Am Pentatonic Blues;9, 0, 2, 3, 4, 7, 9
blues;A#m / Bbm Pentatonic Blues;10, 1, 3, 4, 5, 8, 10
blues;Bm Pentatonic Blues;11, 2, 4, 5, 6, 9, 11 
pentatonic;Cm ;0, 3, 5, 7, 10, 0
pentatonic;C#m / Dbm;1, 4, 6, 8, 11, 1
pentatonic;Dm ;2, 5, 7, 9, 0, 2 
pentatonic;D#m / Ebm;3, 6, 8, 10, 1, 3
pentatonic;Em;4, 7, 9, 11, 2, 4
pentatonic;Fm;5, 8, 10, 0, 3, 5
pentatonic;F#m / Gbm;6, 9, 11, 1, 4, 6
pentatonic;Gm;7, 10, 0, 2, 5, 7
pentatonic;G#m / Abm;8, 11, 1, 3, 6, 8
pentatonic;Am;9, 0, 2, 4, 7, 9
pentatonic;A#m / Bbm;10, 1, 3, 5, 8, 10
pentatonic;Bm;11, 2, 4, 6, 9, 11
algerian;C;0, 2, 3, 5, 6, 7, 8, 11, 0
algerian;C# / Db;1, 3, 4, 6, 7, 8, 9, 0, 1
algerian;D;2, 4, 5, 7, 8, 9, 10, 1, 2
algerian;D# /Eb;3, 5, 6, 8, 9, 10, 11, 2, 3
algerian;E;4, 6, 7, 9, 10, 11, 0, 3, 4
algerian;F;5, 7, 8, 10, 11, 0, 1, 4, 5
algerian;F# / Gb;6, 8, 9, 11, 0, 1, 2, 5, 6
algerian;G;7, 9, 10, 0, 1, 2, 3, 6, 7
algerian;G# / Ab;8, 10, 11, 1, 2, 3, 4, 7, 8
algerian;A;9, 11, 0, 2, 3, 4, 5, 8, 9
algerian;A# / Bb;10, 0, 1, 3, 4, 5, 6, 9, 10
algerian;B;11, 1, 2, 4, 5, 6, 7, 10, 11
arabic;C;0, 2, 4, 5, 6, 8, 10, 0
arabic;C# / Db;1, 3, 5, 6, 7, 9, 11, 1
arabic;D;2, 4, 6, 7, 8, 10, 0, 2
arabic;D# /Eb;3, 5, 7, 8, 9, 11, 1, 3
arabic;E;4, 6, 8, 9, 10, 0, 2, 4
arabic;F;5, 7, 9, 10, 11, 1, 3, 5
arabic;F# / Gb;6, 8, 10, 11, 0, 2, 4, 6
arabic;G;7, 9, 11, 0, 1, 3, 5, 7
arabic;G# / Ab;8, 10, 0, 1, 2, 4, 6, 8
arabic;A;9, 11, 1, 2, 3, 5, 7, 9
arabic;A# / Bb;10, 0, 2, 3, 4, 6, 8, 10
arabic;B;11, 1, 3, 4, 5, 7, 9, 11
augmented;C;0, 3, 4, 7, 8,  11, 0
augmented;C# / Db;1,  4,  5,  8, 9, 0, 1
augmented;D;2,  5, 6, 9, 10, 1,   2
